Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@3bc2841a | Response: null | Date: 01/07/2023 17:33:16
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@108142b0 | Date: 01/07/2023 17:33:16
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@69a5404f | Response: null | Date: 01/07/2023 17:33:16
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@732b1b09 | Date: 01/07/2023 17:33:16
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@65cd801e | Response: null | Date: 01/07/2023 17:33:21
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@64d20c75 | Date: 01/07/2023 17:33:21
Command: Server started | Request: null | Response: null | Date: 01/07/2023 17:35:45
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 17:36:56
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@408899a2 | Response: null | Date: 01/07/2023 17:37:08
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@30dbfa6b | Date: 01/07/2023 17:37:08
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@11740829 | Response: null | Date: 01/07/2023 17:37:14
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@7154132e | Date: 01/07/2023 17:37:14
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@7ba7b46 | Response: null | Date: 01/07/2023 17:37:14
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@56a6d5fc | Date: 01/07/2023 17:37:14
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@6850a8b | Response: null | Date: 01/07/2023 17:37:23
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@40ba2b6b | Date: 01/07/2023 17:37:23
Command: Server started | Request: null | Response: null | Date: 01/07/2023 18:01:12
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 18:01:27
Command: Server started | Request: null | Response: null | Date: 01/07/2023 18:02:14
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 18:02:20
Command: Server started | Request: null | Response: null | Date: 01/07/2023 18:02:42
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 18:02:47
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@4957fe4b | Response: null | Date: 01/07/2023 18:03:00
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@64c0babc | Date: 01/07/2023 18:03:00
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@15c7f327 | Response: null | Date: 01/07/2023 18:03:07
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@44b0277 | Date: 01/07/2023 18:03:07
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@c398995 | Response: null | Date: 01/07/2023 18:03:07
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@50bd6adf | Date: 01/07/2023 18:03:07
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@38378925 | Response: null | Date: 01/07/2023 18:03:11
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@76f18e0b | Date: 01/07/2023 18:03:11
Command: Server started | Request: null | Response: null | Date: 01/07/2023 18:07:03
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 18:07:06
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@4957fe4b | Response: null | Date: 01/07/2023 18:07:16
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@64c0babc | Date: 01/07/2023 18:07:16
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@15c7f327 | Response: null | Date: 01/07/2023 18:07:22
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@44b0277 | Date: 01/07/2023 18:07:22
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@c398995 | Response: null | Date: 01/07/2023 18:07:22
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@50bd6adf | Date: 01/07/2023 18:07:22
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@38378925 | Response: null | Date: 01/07/2023 18:07:26
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@76f18e0b | Date: 01/07/2023 18:07:26
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@37bcad00 | Response: null | Date: 01/07/2023 18:07:44
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@7c418de4 | Date: 01/07/2023 18:07:44
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@6321d41b | Response: null | Date: 01/07/2023 18:10:41
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@623f4b41 | Date: 01/07/2023 18:10:41
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@4aea1a0e | Response: null | Date: 01/07/2023 18:10:58
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@72319a76 | Date: 01/07/2023 18:10:58
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@784f35c6 | Response: null | Date: 01/07/2023 18:11:08
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@652d24d3 | Date: 01/07/2023 18:11:08
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@7d9a6e0 | Response: null | Date: 01/07/2023 18:11:09
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@44f6a3af | Date: 01/07/2023 18:11:09
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@330efa29 | Response: null | Date: 01/07/2023 18:11:09
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@59185f27 | Date: 01/07/2023 18:11:09
Command: Server started | Request: null | Response: null | Date: 01/07/2023 18:25:06
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 18:25:22
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@75e628a0 | Response: null | Date: 01/07/2023 18:27:13
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@1527b5f5 | Date: 01/07/2023 18:27:13
Command: Server started | Request: null | Response: null | Date: 01/07/2023 18:28:10
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 18:28:17
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@75e628a0 | Response: null | Date: 01/07/2023 18:28:36
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@1527b5f5 | Date: 01/07/2023 18:28:36
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@3436b039 | Response: null | Date: 01/07/2023 18:28:46
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@47488ddf | Date: 01/07/2023 18:28:46
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@63caa36 | Response: null | Date: 01/07/2023 18:28:57
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@5d2aba | Date: 01/07/2023 18:28:57
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@46c42642 | Response: null | Date: 01/07/2023 18:28:58
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@487b48bb | Date: 01/07/2023 18:28:58
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@254cdf28 | Response: null | Date: 01/07/2023 18:28:58
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@39e03715 | Date: 01/07/2023 18:28:58
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@2fea6fe1 | Response: null | Date: 01/07/2023 18:28:58
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@2d806b4a | Date: 01/07/2023 18:28:58
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@5363710d | Response: null | Date: 01/07/2023 18:28:58
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@44150849 | Date: 01/07/2023 18:28:58
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@3b4efd8b | Response: null | Date: 01/07/2023 18:28:59
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@2152e50b | Date: 01/07/2023 18:28:59
Command: Client N2left | Request: null | Response: null | Date: 02/07/2023 07:03:30
